Date,Price
2010-12-01,58635.56
2010-12-02,46207.28
2010-12-03,45620.46
2010-12-05,31383.95
2010-12-06,53860.18
2010-12-07,45059.05
2010-12-08,44189.84
2010-12-09,52532.13
2010-12-10,57404.91
2010-12-12,17240.92
2010-12-13,35379.34
2010-12-14,42843.29
2010-12-15,29443.69
2010-12-16,48334.35
2010-12-17,43534.19
2010-12-19,7517.31
2010-12-20,24741.75
2010-12-21,47097.94
2010-12-22,6134.57
2010-12-23,11796.31
2011-01-04,14950.48
2011-01-05,-1566.23
2011-01-06,37392.74
2011-01-07,27233.14
2011-01-09,15710.8
2011-01-10,24191.64
2011-01-11,67817.13
2011-01-12,23958.78
2011-01-13,20533.54
2011-01-14,47377.26
2011-01-16,7116.61
2011-01-17,29256
2011-01-18,18680.8
2011-01-19,25585.81
2011-01-20,17995.91
2011-01-21,31978.44
2011-01-23,10285.95
2011-01-24,25555.62
2011-01-25,27971.52
2011-01-26,19493.32
2011-01-27,21092.14
2011-01-28,18567.77
2011-01-30,6456.44
2011-01-31,22364.65
2011-02-01,28433.22
2011-02-02,21048.45
2011-02-03,23344.58
2011-02-04,24994.17
2011-02-06,3457.11
2011-02-07,25525.99
2011-02-08,20728.14
2011-02-09,16692.58
2011-02-10,13427.54
2011-02-11,20387.28
2011-02-13,5535.4
2011-02-14,26222.03
2011-02-15,36842.58
2011-02-16,24730.81
2011-02-17,26361.87
2011-02-18,15928.4
2011-02-20,9578.89
2011-02-21,23807.83
2011-02-22,32292.62
2011-02-23,26792.76
2011-02-24,22655.83
2011-02-25,18029.84
2011-02-27,9491.05
2011-02-28,21753.68
2011-03-01,25471.71
2011-03-02,18296.45
2011-03-03,35842.62
2011-03-04,19474.87
2011-03-06,9596.23
2011-03-07,30525.58
2011-03-08,25017.47
2011-03-09,21907.12
2011-03-10,25597.89
2011-03-11,21995.28
2011-03-13,4137.62
2011-03-14,25864.59
2011-03-15,20660.03
2011-03-16,21182.64
2011-03-17,38804.25
2011-03-18,16770.46
2011-03-20,21980.64
2011-03-21,16370.27
2011-03-22,31312.35
2011-03-23,24029.07
2011-03-24,36562.1
2011-03-25,30656.03
2011-03-27,8979.98
2011-03-28,19207.03
2011-03-29,70531.47
2011-03-30,31489.25
2011-03-31,31004.08
