,Date,Price
0,2010-12-01,58635.560000000005
1,2010-12-02,46207.28
2,2010-12-03,45620.46000000001
3,2010-12-05,31383.950000000004
4,2010-12-06,53860.18
5,2010-12-07,45059.049999999996
6,2010-12-08,44189.84
7,2010-12-09,52532.130000000005
8,2010-12-10,57404.91
9,2010-12-12,17240.92
10,2010-12-13,35379.34
11,2010-12-14,42843.28999999999
12,2010-12-15,29443.69
13,2010-12-16,48334.350000000006
14,2010-12-17,43534.19
15,2010-12-19,7517.3099999999995
16,2010-12-20,24741.75
17,2010-12-21,47097.94
18,2010-12-22,6134.57
19,2010-12-23,11796.309999999998
20,2011-01-04,14950.48
21,2011-01-05,-1566.2299999999996
22,2011-01-06,37392.740000000005
23,2011-01-07,27233.14
24,2011-01-09,15710.8
25,2011-01-10,24191.64
26,2011-01-11,67817.12999999999
27,2011-01-12,23958.78
28,2011-01-13,20533.54
29,2011-01-14,47377.259999999995
30,2011-01-16,7116.610000000001
31,2011-01-17,29255.999999999996
32,2011-01-18,18680.8
33,2011-01-19,25585.809999999998
34,2011-01-20,17995.91
35,2011-01-21,31978.44
36,2011-01-23,10285.95
37,2011-01-24,25555.620000000003
38,2011-01-25,27971.519999999997
39,2011-01-26,19493.32
40,2011-01-27,21092.14
41,2011-01-28,18567.77
42,2011-01-30,6456.4400000000005
43,2011-01-31,22364.649999999998
44,2011-02-01,28433.22
45,2011-02-02,21048.45
46,2011-02-03,23344.58
47,2011-02-04,24994.17
48,2011-02-06,3457.11
49,2011-02-07,25525.99
50,2011-02-08,20728.14
51,2011-02-09,16692.58
52,2011-02-10,13427.54
53,2011-02-11,20387.280000000002
54,2011-02-13,5535.4
55,2011-02-14,26222.03
56,2011-02-15,36842.58
57,2011-02-16,24730.809999999998
58,2011-02-17,26361.870000000003
59,2011-02-18,15928.400000000001
60,2011-02-20,9578.89
61,2011-02-21,23807.829999999994
62,2011-02-22,32292.62
63,2011-02-23,26792.76
64,2011-02-24,22655.83
65,2011-02-25,18029.84
66,2011-02-27,9491.05
67,2011-02-28,21753.68
68,2011-03-01,25471.71
69,2011-03-02,18296.45
70,2011-03-03,35842.62
71,2011-03-04,19474.87
72,2011-03-06,9596.23
73,2011-03-07,30525.58
74,2011-03-08,25017.47
75,2011-03-09,21907.120000000003
76,2011-03-10,25597.89
77,2011-03-11,21995.28
78,2011-03-13,4137.62
79,2011-03-14,25864.590000000004
80,2011-03-15,20660.03
81,2011-03-16,21182.64
82,2011-03-17,38804.25
83,2011-03-18,16770.46
84,2011-03-20,21980.64
85,2011-03-21,16370.27
86,2011-03-22,31312.35
87,2011-03-23,24029.07
88,2011-03-24,36562.1
89,2011-03-25,30656.03
90,2011-03-27,8979.98
91,2011-03-28,19207.03
92,2011-03-29,70531.47
93,2011-03-30,31489.25
94,2011-03-31,31004.079999999998
95,2011-04-01,24391.78
96,2011-04-03,6878.1
97,2011-04-04,25073.02
98,2011-04-05,28353.829999999998
99,2011-04-06,17279.35
100,2011-04-07,18229.0
101,2011-04-08,23299.14
102,2011-04-10,9363.88
103,2011-04-11,22110.31
104,2011-04-12,25124.25
105,2011-04-13,23898.2
106,2011-04-14,35295.58
107,2011-04-15,28327.131
108,2011-04-17,12704.3
109,2011-04-18,32185.61
110,2011-04-19,23837.65
111,2011-04-20,28239.389999999996
112,2011-04-21,31198.600000000002
113,2011-04-26,30585.539999999997
114,2011-04-27,25590.56
115,2011-04-28,21241.9
116,2011-05-01,6964.66
117,2011-05-03,19617.86
118,2011-05-04,27462.3
119,2011-05-05,28750.649999999998
120,2011-05-06,35714.58
121,2011-05-08,18808.92
122,2011-05-09,26060.43
123,2011-05-10,45564.119999999995
124,2011-05-11,33240.36
125,2011-05-12,59911.97
